"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",NA
"11",NA
"12",NA
"13",NA
"14",NA
"15",NA
"16",NA
"17",NA
"18",NA
"19",NA
"20",NA
"21",NA
"22",NA
"23",NA
"24",NA
"25",NA
"26",NA
"27",NA
"28",NA
"29",NA
"30",NA
"31",NA
"32",NA
"33",NA
"34",NA
"35",NA
"36",NA
"37",NA
"38",NA
"39",NA
"40",NA
"41",NA
"42",NA
"43",NA
"44",NA
"45",NA
"46",NA
"47",NA
"48",NA
"49",NA
"50",NA
"51",NA
"52",NA
"53",NA
"54",NA
"55",NA
"56",NA
"57",NA
"58",NA
"59",NA
"60",NA
"61",NA
"62",NA
"63",NA
"64",NA
"65",NA
"66",NA
"67",NA
"68",NA
"69",NA
"70",NA
"71",NA
"72",NA
"73",NA
"74",NA
"75",NA
"76",NA
"77",NA
"78",NA
"79",78.3333333333333
"80",NA
"81",77.2
"82",80
"83",73
"84",NA
"85",80.5
"86",84
"87",NA
"88",NA
"89",NA
"90",NA
"91",NA
"92",NA
"93",91.5
"94",90
"95",86.3333333333333
"96",NA
"97",87.1428571428571
"98",93
"99",85.2857142857143
"100",98
"101",86
"102",85.3333333333333
"103",69
"104",69
"105",68
"106",NA
"107",NA
"108",89.6666666666667
"109",85.5
"110",94
"111",85.3333333333333
"112",NA
"113",NA
"114",NA
"115",NA
"116",97.3333333333333
"117",102
"118",88.5
"119",105.625
"120",105
"121",109.5
"122",NA
"123",NA
"124",NA
"125",94.6666666666667
"126",NA
"127",89.5
"128",NA
"129",102
"130",118
"131",100
"132",112
"133",95.5
"134",101
"135",101
"136",91
"137",100.5
"138",114.333333333333
"139",86
"140",110
"141",NA
"142",85
"143",NA
"144",NA
"145",NA
"146",132
"147",128.5
"148",127
"149",120
"150",123
"151",118.4
"152",92
"153",117.666666666667
"154",105
"155",115.4
"156",117.5
"157",104
"158",113.666666666667
"159",95
"160",112.571428571429
"161",101.428571428571
"162",105.8
"163",113
"164",102.636363636364
"165",118
"166",101.714285714286
"167",112
"168",117.142857142857
"169",102.5
"170",116.5
"171",103.25
"172",97.6666666666667
"173",93.3333333333333
"174",93.6
"175",90.5
"176",83.5
"177",80
"178",101
"179",101.111111111111
"180",110
"181",99.8888888888889
"182",105
"183",108.5
"184",101.5
"185",101
"186",103.5
"187",87
"188",115.833333333333
"189",85.8
"190",93.375
"191",78
"192",95.75
"193",81
"194",91.5
"195",NA
"196",105.333333333333
"197",75.3333333333333
"198",123.75
"199",99.3333333333333
"200",105.5
"201",102.25
"202",108.25
"203",105.5
"204",94.8333333333333
"205",102
"206",96
"207",89.6666666666667
"208",138
"209",82.4
"210",146
"211",96
"212",121.571428571429
"213",86.2857142857143
"214",130
"215",84.1666666666667
"216",125
"217",102
"218",134
"219",128.333333333333
"220",118.5
"221",117.6
"222",109.5
"223",122.666666666667
"224",87
"225",103.333333333333
"226",NA
"227",90
"228",NA
"229",NA
"230",NA
"231",122.333333333333
"232",120
"233",98.5714285714286
"234",115.666666666667
"235",96.25
"236",NA
"237",95.4
"238",96.4
"239",74
"240",96.5
"241",130
"242",96.5
"243",120
"244",121
"245",NA
"246",NA
"247",NA
"248",NA
"249",117.2
"250",NA
"251",115
"252",NA
"253",NA
"254",111
"255",125.8
"256",NA
"257",119.333333333333
"258",NA
"259",77.5
"260",107
"261",93.4285714285714
"262",91.6666666666667
"263",97.6
"264",112.5
"265",102
"266",87
"267",95.5
"268",119.5
"269",101.4
"270",118.4
"271",102.5
"272",120
"273",125.666666666667
"274",118.666666666667
"275",122
"276",118.5
"277",133
"278",117.666666666667
"279",116.5
"280",111
"281",109.8
"282",110
"283",104.6
"284",130.75
"285",98
"286",121.5
"287",116.2
"288",93.5
"289",117.75
"290",101.333333333333
"291",109.666666666667
"292",98.5
"293",94
"294",90
"295",108
"296",99.5
"297",97
"298",94
"299",109
"300",121.25
"301",113.2
"302",126.25
"303",95
"304",93.6
"305",92
"306",73
"307",88.5
"308",71
"309",68
"310",72
"311",NA
"312",NA
"313",NA
"314",NA
"315",NA
"316",NA
"317",NA
"318",146.333333333333
"319",116
"320",137.625
"321",130
"322",128
"323",121.5
"324",133.714285714286
"325",119
"326",130.6
"327",108.25
"328",124.5
"329",136.6
"330",115
"331",121
"332",NA
"333",119.4
"334",124
"335",110.666666666667
"336",115.857142857143
"337",119
"338",107.142857142857
"339",114.5
"340",108
"341",120.666666666667
"342",118.2
"343",NA
"344",122.375
"345",133.5
"346",119.625
"347",124
"348",120
"349",91.5
"350",89
"351",88.5
"352",86
"353",98.6666666666667
"354",102.5
"355",111.25
"356",104.333333333333
"357",108.75
"358",NA
"359",120.333333333333
"360",NA
"361",123.090909090909
"362",102.5
"363",132.8
"364",128.8
"365",131.2
"366",130
"367",124.5
"368",120
"369",109
"370",131
"371",108.666666666667
"372",NA
"373",104
"374",81
"375",124.125
"376",113.833333333333
"377",112.5
"378",115.833333333333
"379",119
"380",115.4
"381",117.666666666667
"382",96.25
"383",113.333333333333
"384",121.5
"385",90
"386",105.285714285714
"387",97
"388",135.6
"389",NA
"390",142.25
"391",NA
"392",101.333333333333
"393",81
"394",113
"395",73
"396",106.5
"397",69
"398",120.25
"399",106.666666666667
"400",104
"401",100.888888888889
"402",82
"403",95.5
"404",92.6666666666667
"405",94.6666666666667
"406",NA
"407",130
"408",105.75
"409",127
"410",94.3333333333333
"411",70
"412",103
"413",97.8
"414",NA
"415",71
"416",161
"417",144.8
"418",111
"419",153.25
"420",NA
"421",154.666666666667
"422",NA
"423",144
"424",NA
"425",127
"426",133
"427",117.428571428571
"428",112
"429",115
"430",106.75
"431",120.833333333333
"432",97.75
"433",114.636363636364
"434",103.857142857143
"435",109.363636363636
"436",113
"437",104.4
"438",129
"439",107.5
"440",127
"441",109
"442",120.5
"443",98.6666666666667
"444",110.333333333333
"445",91.6666666666667
"446",98
"447",81
"448",106.25
"449",117.571428571429
"450",133
"451",117.555555555556
"452",118.666666666667
"453",100.5
"454",109
"455",94.25
"456",104
"457",85
"458",92.8
"459",NA
"460",90
"461",117
"462",83.6666666666667
"463",113.333333333333
"464",86
"465",108
"466",100
"467",132.8
"468",88.6666666666667
"469",131.6
"470",132.75
"471",91.5
"472",104.5
"473",100
"474",91.5
"475",109.666666666667
"476",112.666666666667
"477",103.333333333333
"478",111.666666666667
"479",93.2
"480",92
"481",93
"482",91
"483",NA
"484",NA
"485",109.4
"486",113.6
"487",101
"488",107.857142857143
"489",97
"490",97
"491",115
"492",81.5
"493",110
"494",125.333333333333
"495",NA
"496",114.166666666667
"497",NA
"498",92
"499",99
"500",100
"501",NA
"502",96.25
"503",128
"504",133
"505",113
"506",112.2
"507",NA
"508",100
"509",94
"510",96
"511",89
"512",130
"513",98.7142857142857
"514",117.25
"515",89.6
"516",121
"517",102
"518",106
"519",92
"520",96.5
"521",93
"522",94.5
"523",91.3333333333333
"524",95
"525",90
"526",91
"527",86
"528",117
"529",124
"530",115
"531",122
"532",107.166666666667
"533",132.75
"534",96.5
"535",120.875
"536",100
"537",110.2
"538",94.25
"539",83
"540",85
"541",76
"542",82.3333333333333
"543",106
"544",88.25
"545",92.8
"546",75
"547",104
"548",95
"549",93
"550",89.5
"551",98
"552",100
"553",94
"554",116.333333333333
"555",103
"556",118.666666666667
"557",115.666666666667
"558",148.333333333333
"559",112
"560",138.5
"561",130.333333333333
"562",91.3333333333333
"563",128.666666666667
"564",113.333333333333
"565",127.5
"566",104.6
"567",103.25
"568",115.5
"569",88.5
"570",109.333333333333
"571",NA
"572",112.4
"573",NA
"574",109.666666666667
"575",120
"576",125.5
"577",127
"578",109
"579",92.75
"580",89.3333333333333
"581",96.6666666666667
"582",109.8
"583",83
"584",105.4
"585",106.5
"586",82
"587",117
"588",NA
"589",115.666666666667
"590",108
"591",116.5
"592",NA
"593",NA
"594",145.333333333333
"595",NA
"596",NA
"597",NA
"598",137.5
"599",135
"600",127
"601",125.4
"602",132
"603",117.5
"604",128
"605",114.4
"606",111
"607",106.142857142857
"608",104.75
"609",117.8
"610",112.285714285714
"611",117.6
"612",110.25
"613",120.5
"614",107.5
"615",115.5
"616",104.75
"617",98.3333333333333
"618",116.285714285714
"619",110.25
"620",127.333333333333
"621",111.857142857143
"622",125
"623",114.857142857143
"624",137.25
"625",130.8
"626",139
"627",122.5
"628",128.833333333333
"629",133.2
"630",133
"631",122.875
"632",110
"633",125.6
"634",91.5
"635",114.75
"636",88
"637",100.75
"638",121.4
"639",97.8
"640",120
"641",100
"642",114.25
"643",94.25
"644",123.666666666667
"645",NA
"646",114.75
"647",111.333333333333
"648",118.333333333333
"649",118.333333333333
"650",121.2
"651",100
"652",129.5
"653",116.428571428571
"654",116
"655",108.6
"656",105.2
"657",94.75
"658",96
"659",90.5
"660",NA
"661",NA
"662",NA
"663",NA
"664",113
"665",116
"666",121
"667",115
"668",108.666666666667
"669",118
"670",127
"671",104.5
"672",126.5
"673",86.6666666666667
"674",NA
"675",NA
"676",141.333333333333
"677",NA
"678",133.333333333333
"679",NA
"680",123.333333333333
"681",94
"682",107
"683",91
"684",114
"685",108
"686",111.125
"687",117.25
"688",114.285714285714
"689",111.272727272727
"690",115.25
"691",105.4
"692",104.833333333333
"693",103.5
"694",108.75
"695",99.75
"696",109.333333333333
"697",NA
"698",103.5
"699",147
"700",111.333333333333
"701",107
"702",107.625
"703",106
"704",86
"705",102.75
"706",NA
"707",96.25
"708",111.333333333333
"709",115
"710",123.5
"711",95
"712",111.75
"713",83.5
"714",113
"715",133
"716",91
"717",125.333333333333
"718",113
"719",97
"720",126.5
"721",96.25
"722",103
"723",NA
"724",NA
"725",NA
"726",119.25
"727",125
"728",115.4
"729",123
"730",127
"731",98.75
