tlLogics_version;tlLogic_id;tlLogic_offset;tlLogic_programID;tlLogic_type;phase_duration;phase_state;connection_from;connection_fromLane;connection_linkIndex;connection_tl;connection_to;connection_toLane
0.27;0;0;0;static;41;GGGGGrrrr;;;;;;
0.27;0;0;0;static;4;yyyyyrrrr;;;;;;
0.27;0;0;0;static;41;rrrrrGGGG;;;;;;
0.27;0;0;0;static;4;rrrrryyyy;;;;;;
0.27;1;0;0;static;41;GGGGrrrrr;;;;;;
0.27;1;0;0;static;4;yyyyrrrrr;;;;;;
0.27;1;0;0;static;41;rrrrGGGGG;;;;;;
0.27;1;0;0;static;4;rrrryyyyy;;;;;;
0.27;10;0;0;static;41;GGGGGrrrr;;;;;;
0.27;10;0;0;static;4;yyyyyrrrr;;;;;;
0.27;10;0;0;static;41;rrrrrGGGG;;;;;;
0.27;10;0;0;static;4;rrrrryyyy;;;;;;
0.27;11;0;0;static;41;GGGGrrrrr;;;;;;
0.27;11;0;0;static;4;yyyyrrrrr;;;;;;
0.27;11;0;0;static;41;rrrrGGGGG;;;;;;
0.27;11;0;0;static;4;rrrryyyyy;;;;;;
0.27;12;0;0;static;41;GGGGGrrrr;;;;;;
0.27;12;0;0;static;4;yyyyyrrrr;;;;;;
0.27;12;0;0;static;41;rrrrrGGGG;;;;;;
0.27;12;0;0;static;4;rrrrryyyy;;;;;;
0.27;13;0;0;static;41;GGGGrrrrr;;;;;;
0.27;13;0;0;static;4;yyyyrrrrr;;;;;;
0.27;13;0;0;static;41;rrrrGGGGG;;;;;;
0.27;13;0;0;static;4;rrrryyyyy;;;;;;
0.27;14;0;0;static;41;GGGGGrrrr;;;;;;
0.27;14;0;0;static;4;yyyyyrrrr;;;;;;
0.27;14;0;0;static;41;rrrrrGGGG;;;;;;
0.27;14;0;0;static;4;rrrrryyyy;;;;;;
0.27;15;0;0;static;41;GGGGrrrrr;;;;;;
0.27;15;0;0;static;4;yyyyrrrrr;;;;;;
0.27;15;0;0;static;41;rrrrGGGGG;;;;;;
0.27;15;0;0;static;4;rrrryyyyy;;;;;;
0.27;16;0;0;static;41;GGGGrrrrr;;;;;;
0.27;16;0;0;static;4;yyyyrrrrr;;;;;;
0.27;16;0;0;static;41;rrrrGGGGG;;;;;;
0.27;16;0;0;static;4;rrrryyyyy;;;;;;
0.27;17;0;0;static;41;GGGGrrrrr;;;;;;
0.27;17;0;0;static;4;yyyyrrrrr;;;;;;
0.27;17;0;0;static;41;rrrrGGGGG;;;;;;
0.27;17;0;0;static;4;rrrryyyyy;;;;;;
0.27;18;0;0;static;41;GGGGrrrrr;;;;;;
0.27;18;0;0;static;4;yyyyrrrrr;;;;;;
0.27;18;0;0;static;41;rrrrGGGGG;;;;;;
0.27;18;0;0;static;4;rrrryyyyy;;;;;;
0.27;19;0;0;static;41;GGGGrrrrr;;;;;;
0.27;19;0;0;static;4;yyyyrrrrr;;;;;;
0.27;19;0;0;static;41;rrrrGGGGG;;;;;;
0.27;19;0;0;static;4;rrrryyyyy;;;;;;
0.27;2;0;0;static;41;GGGGGrrrr;;;;;;
0.27;2;0;0;static;4;yyyyyrrrr;;;;;;
0.27;2;0;0;static;41;rrrrrGGGG;;;;;;
